x[m], T[K]
5.12274,300
5.12672,300
5.13071,300
5.1347,300
5.13869,300
5.14267,300
5.14666,300
5.15065,300
5.15464,300
5.15862,300
5.16261,300
5.1666,300
5.17059,300
5.17457,300
5.17856,300
5.18255,300
5.18654,300
5.19052,300
5.19451,300
5.1985,300
5.20249,300
5.20647,300
5.21046,300
5.21445,300
5.21844,300
5.22242,300
5.22641,300
5.2304,300
5.23439,300
5.23837,300
5.24236,300
5.24635,300
5.25034,300
5.25432,300
5.25831,300
5.2623,300
5.26629,300
5.27027,300
5.27426,300
5.27825,300
5.28224,300
5.28622,300
5.29021,300
5.2942,300
5.29819,300
5.30217,300
5.30616,300
5.31015,300
5.31414,300
5.31812,300
5.32211,300
5.3261,300
5.33009,300
5.33407,300
5.33806,300
5.34205,300
5.34604,300
5.35002,300
5.35401,300
5.358,300
5.36199,300
5.36597,300
5.36996,300
5.37395,300
5.37794,300
5.38192,300
5.38591,300
5.3899,300
5.39389,300
5.39787,300
5.40186,300
5.40585,300
5.40984,300
5.41382,300
5.41781,300
5.4218,300
5.42579,300
5.42977,300
5.43376,300
5.43775,300
5.44174,300
5.44572,300
5.44971,300
5.4537,300
5.45769,300
5.46167,300
5.46566,300
5.46965,300
5.47364,300
5.47762,300
5.48161,300
5.4856,300
5.48959,300
5.49357,300
5.49756,300
5.50155,300
5.50554,300
5.50952,300
5.51351,300
5.5175,300
5.52149,300
5.52547,300
5.52946,300
5.53345,300
5.53744,300
5.54142,300
5.54541,300
5.5494,300
5.55339,300
5.55737,300
5.56136,300
5.56535,300
5.56934,300
5.57332,300
5.57731,300
5.5813,300
5.58529,300
5.58927,300
5.59326,300
5.59725,300
5.60124,300
5.60522,300
5.60921,300
5.6132,300
5.61719,300
5.62117,300
5.62516,300
5.62915,300
5.63314,300
5.63712,300
5.64111,300
5.6451,300
5.64909,300
5.65307,300
5.65706,300
5.66105,300
5.66504,300
5.66902,300
5.67301,300
5.677,300
5.68099,300
5.68497,300
5.68896,300
5.69295,300
5.69694,300
5.70092,300
5.70491,300
5.7089,300
5.71289,300
5.71687,300
5.72086,300
5.72485,300
5.72884,300
5.73282,300
5.73681,300
5.7408,300
5.74479,300
5.74877,300
5.75276,300
5.75675,300
5.76074,300
5.76472,300
5.76871,300
5.7727,300
5.77669,300
5.78067,300
5.78466,300
5.78865,300
5.79264,300
5.79662,300
5.80061,300
5.8046,300
5.80859,300
5.81257,300
5.81656,300
5.82055,300
5.82454,300
5.82852,300
5.83251,300
5.8365,300
5.84049,300
5.84447,300
5.84846,300
5.85245,300
5.85644,300
5.86042,300
5.86441,300
5.8684,300
5.87239,300
5.87637,300
5.88036,300
5.88435,300
5.88834,300
5.89232,300
5.89631,300
5.9003,300
5.90429,300
5.90827,300
5.91226,300
5.91625,300
5.92024,300
5.92422,300
5.92821,300
5.9322,300
5.93619,300
5.94017,300
5.94416,300
5.94815,300
5.95214,300
5.95612,300
5.96011,300
5.9641,300
5.96809,300
5.97207,300
5.97606,300
5.98005,300
5.98404,300
5.98802,300
5.99201,300
5.996,300
5.99999,300
6.00397,300
6.00796,300
6.01195,300
6.01594,300
6.01992,300
6.02391,300
6.0279,300
6.03189,300
6.03587,300
6.03986,300
6.04385,300
6.04784,300
6.05182,300
6.05581,300
6.0598,300
6.06379,300
6.06777,300
6.07176,300
6.07575,300
6.07974,300
6.08372,300
6.08771,300
6.0917,300
6.09569,300
6.09967,300
6.10366,300
6.10765,300
6.11164,300
6.11562,300
6.11961,300
6.1236,300
6.12759,300
6.13157,300
6.13556,300
6.13955,300
6.14354,300
6.14752,300
6.15151,300
6.1555,300
6.15949,300
6.16347,300
6.16746,300
6.17145,300
6.17544,300
6.17942,300
6.18341,300
6.1874,300
6.19139,300
6.19537,300
6.19936,300
6.20335,300
6.20734,300
6.21132,300
6.21531,300
6.2193,300
6.22329,300
6.22727,300
6.23126,300
6.23525,300
6.23924,300
6.24322,300
6.24721,300
6.2512,300
6.25519,300
6.25917,300
6.26316,300
6.26715,300
6.27114,300
6.27512,300
6.27911,300
6.2831,300
6.28709,300
6.29107,300
6.29506,300
6.29905,300
6.30304,300
6.30702,300
6.31101,300
6.315,300
6.31899,300
6.32297,300
6.32696,300
6.33095,300
6.33494,300
6.33892,300
6.34291,300
6.3469,300
6.35089,300
6.35487,300
6.35886,300
6.36285,300
6.36684,300
6.37082,300
6.37481,300
6.3788,300
6.38279,300
6.38677,300
6.39076,300
6.39475,300
6.39874,300
6.40272,300
6.40671,300
6.4107,300
6.41469,300
6.41867,300
6.42266,300
6.42665,300
6.43064,300
6.43462,300
6.43861,300
6.4426,300
6.44659,300
6.45057,300
6.45456,300
6.45855,300
6.46254,300
6.46652,300
6.47051,300
6.4745,300
6.47849,300
6.48247,300
6.48646,300
6.49045,300
6.49444,300
6.49842,300
6.50241,300
6.5064,300
6.51039,300
6.51437,300
6.51836,300
6.52235,300
6.52634,300
6.53032,300
6.53431,300
6.5383,300
6.54229,300
6.54627,300
6.55026,300
6.55425,300
6.55824,300
6.56222,300
6.56621,300
6.5702,300
6.57419,300
6.57817,300
6.58216,300
6.58615,300
6.59014,300
6.59412,300
6.59811,300
6.6021,300
6.60609,300
6.61007,300
6.61406,300
6.61805,300
6.62204,300
6.62602,300
6.63001,300
6.634,300
6.63799,300
6.64197,300
6.64596,300
6.64995,300
6.65394,300
6.65792,300
6.66191,300
6.6659,300
6.66989,300
6.67387,300
6.67786,300
6.68185,300
6.68584,300
6.68982,300
6.69381,300
6.6978,300
6.70179,300
6.70577,300
6.70976,300
6.71375,300
6.71774,300
6.72172,300
6.72571,300
6.7297,300
6.73369,300
6.73767,300
6.74166,300
6.74565,300
6.74964,300
6.75362,300
6.75761,300
6.7616,300
6.76559,300
6.76957,300
6.77356,300
6.77755,300
6.78154,300
6.78552,300
6.78951,300
6.7935,300
6.79749,300
6.80147,300
6.80546,300
6.80945,300
6.81344,300
6.81742,300
6.82141,300
6.8254,300
6.82939,300
6.83337,300
6.83736,300
6.84135,300
6.84534,300
6.84932,300
6.85331,300
6.8573,300
6.86129,300
6.86527,300
6.86926,300
6.87325,300
6.87724,300
6.88122,300
6.88521,300
6.8892,300
6.89319,300
6.89717,300
6.90116,300
6.90515,300
6.90914,300
6.91312,300
6.91711,300
6.9211,300
6.92509,300
6.92907,300
6.93306,300
6.93705,300
6.94104,300
6.94502,300
6.94901,300
6.953,300
6.95699,300
6.96097,300
6.96496,300
6.96895,300
6.97294,300
6.97692,300
6.98091,300
6.9849,300
6.98889,300
6.99287,300
6.99686,300
7.00085,300
7.00484,300
7.00882,300
7.01281,300
7.0168,300
7.02079,300
7.02477,300
7.02876,300
7.03275,300
7.03674,300
7.04072,300
7.04471,300
7.0487,300
7.05269,300
7.05667,300
7.06066,300
7.06465,300
7.06864,300
7.07262,300
7.07661,300
7.0806,300
7.08459,300
7.08857,300
7.09256,300
7.09655,300
7.10054,300
7.10452,300
7.10851,300
7.1125,300
7.11649,300
7.12047,300
7.12446,300
7.12845,300
7.13244,300
7.13642,300
7.14041,300
7.1444,300
7.14839,300
7.15237,300
7.15636,300
7.16035,300
7.16434,300
7.16832,300
7.17231,300
7.1763,300
7.18029,300
7.18427,300
7.18826,300
7.19225,300
7.19624,300
7.20022,300
7.20421,300
7.2082,300
7.21219,300
7.21617,300
7.22016,300
7.22415,300
7.22814,300
7.23212,300
7.23611,300
7.2401,300
7.24409,300
7.24807,300
7.25206,300
7.25605,300
7.26004,300
7.26402,300
7.26801,300
7.272,300
7.27599,300
7.27997,300
7.28396,300
7.28795,300
7.29194,300
7.29592,300
7.29991,300
7.3039,300
7.30789,300
7.31187,300
7.31586,300
7.31985,300
7.32384,300
7.32782,300
7.33181,300
7.3358,300
7.33979,300
7.34377,300
7.34776,300
7.35175,300
7.35574,300
7.35972,300
7.36371,300
7.3677,300
7.37169,300
7.37567,300
7.37966,300
7.38365,300
7.38764,300
7.39162,300
7.39561,300
7.3996,300
7.40359,300
7.40757,300
7.41156,300
7.41555,300
7.41954,300
7.42352,300
7.42751,300
7.4315,300
7.43549,300
