Reaction;rho_i_v;rho_i_c;A_i;E_i/R;psi;T_reac;;;;;;;;;;;;
;(lb/ft^3);(lb/ft^3);sec-1;(deg R);(---);(in R);;;;;;;;;;;;
A;1.873E+01;0.000E+00;1.200E+04;1.540E+04;3.000E+00;6.000E+02;;;;;;;;;;;;
B;5.619E+01;3.746E+01;4.480E+09;3.680E+04;3.000E+00;1.000E+03;;;;;;;;;;;;
C;9.988E+01;9.988E+01;0.00E+00;0.00;0.00;1.000E+04;The carbon fibers do not pyrolyse;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Note for CMA/FIAT;;Resin volume fraction = 0.5 (Gamma in CMA);;;;;rho = (1-phi) [gamma (rho_A + rho_B) - (1-gamma) rho_c];;;;;;;;;;;
users;;Composite porosity = 0.8 (phi in CMA);;;;;!!! phi must be used if non-zero (even if not shown in the publications);;;;;;;;;;;
;2.050E+03;1.090E+01;6.072E+00;1.181E+00;5.574E+03;5.702E-01;6.479E-04;;;;;3.690E+03;1.450E+00;2.396E+03;;;;
;2.075E+03;1.088E+01;6.443E+00;1.175E+00;5.730E+03;5.752E-01;6.391E-04;;;;;3.735E+03;1.539E+00;2.463E+03;;;;
;2.100E+03;1.086E+01;6.857E+00;1.169E+00;5.896E+03;5.802E-01;6.303E-04;;;;;3.780E+03;1.638E+00;2.535E+03;;;;
;2.125E+03;1.084E+01;7.317E+00;1.163E+00;6.073E+03;5.852E-01;6.216E-04;;;;;3.825E+03;1.748E+00;2.611E+03;;;;
;2.150E+03;1.081E+01;7.826E+00;1.158E+00;6.262E+03;5.902E-01;6.130E-04;;;;;3.870E+03;1.869E+00;2.692E+03;;;;
;2.175E+03;1.079E+01;8.390E+00;1.153E+00;6.465E+03;5.953E-01;6.043E-04;;;;;3.915E+03;2.004E+00;2.779E+03;;;;
;2.200E+03;1.075E+01;9.012E+00;1.148E+00;6.682E+03;6.004E-01;5.957E-04;;;;;3.960E+03;2.152E+00;2.873E+03;;;;
;2.225E+03;1.072E+01;9.696E+00;1.143E+00;6.916E+03;6.055E-01;5.870E-04;;;;;4.005E+03;2.316E+00;2.973E+03;;;;
;2.250E+03;1.068E+01;1.045E+01;1.139E+00;7.168E+03;6.107E-01;5.784E-04;;;;;4.050E+03;2.495E+00;3.082E+03;;;;
;2.275E+03;1.063E+01;1.127E+01;1.136E+00;7.439E+03;6.159E-01;5.696E-04;;;;;4.095E+03;2.692E+00;3.198E+03;;;;
;2.300E+03;1.058E+01;1.217E+01;1.132E+00;7.732E+03;6.211E-01;5.608E-04;;;;;4.140E+03;2.907E+00;3.324E+03;;;;
;2.325E+03;1.053E+01;1.316E+01;1.129E+00;8.048E+03;6.264E-01;5.519E-04;;;;;4.185E+03;3.143E+00;3.460E+03;;;;
;2.350E+03;1.047E+01;1.423E+01;1.127E+00;8.391E+03;6.318E-01;5.430E-04;;;;;4.230E+03;3.399E+00;3.607E+03;;;;
;2.375E+03;1.040E+01;1.540E+01;1.124E+00;8.761E+03;6.372E-01;5.339E-04;;;;;4.275E+03;3.678E+00;3.766E+03;;;;
;2.400E+03;1.033E+01;1.667E+01;1.122E+00;9.161E+03;6.427E-01;5.247E-04;;;;;4.320E+03;3.982E+00;3.939E+03;;;;
;2.425E+03;1.025E+01;1.805E+01;1.120E+00;9.595E+03;6.482E-01;5.153E-04;;;;;4.365E+03;4.312E+00;4.125E+03;;;;
;2.450E+03;1.017E+01;1.955E+01;1.118E+00;1.007E+04;6.538E-01;5.058E-04;;;;;4.410E+03;4.669E+00;4.327E+03;;;;
;2.475E+03;1.008E+01;2.117E+01;1.117E+00;1.057E+04;6.595E-01;4.962E-04;;;;;4.455E+03;5.056E+00;4.546E+03;;;;
;2.500E+03;9.978E+00;2.292E+01;1.116E+00;1.113E+04;6.653E-01;4.864E-04;;;;;4.500E+03;5.474E+00;4.783E+03;;;;
;2.525E+03;9.871E+00;2.480E+01;1.115E+00;1.172E+04;6.712E-01;4.764E-04;;;;;4.545E+03;5.923E+00;5.039E+03;;;;
;2.550E+03;9.756E+00;2.682E+01;1.114E+00;1.237E+04;6.772E-01;4.663E-04;;;;;4.590E+03;6.405E+00;5.316E+03;;;;
